1,370,773.320,550.220,108.340,290.380,1.0000,-1,-1,-1
1,371,926.900,560.430,68.100,268.960,1.0000,-1,-1,-1
1,372,647.160,540.510,142.830,292.200,1.0000,-1,-1,-1
1,373,798.080,646.600,155.060,211.050,1.0000,-1,-1,-1
1,374,1022.200,568.250,51.280,228.800,1.0000,-1,-1,-1
1,375,1034.460,611.370,155.460,215.670,1.0000,-1,-1,-1
1,376,1097.000,571.620,90.970,230.730,1.0000,-1,-1,-1
1,377,1006.590,633.350,114.620,203.610,1.0000,-1,-1,-1
1,378,926.510,635.000,185.950,220.040,1.0000,-1,-1,-1
2,370,763.780,549.930,111.970,291.090,1.0000,-1,-1,-1
2,371,928.870,560.500,66.100,267.980,1.0000,-1,-1,-1
2,372,643.810,529.500,134.690,308.610,1.0000,-1,-1,-1
2,373,796.450,645.620,183.810,211.740,1.0000,-1,-1,-1
2,374,1022.980,568.510,46.320,226.520,1.0000,-1,-1,-1
2,375,1018.890,610.410,167.100,217.870,1.0000,-1,-1,-1
2,376,1102.070,572.340,88.470,230.920,1.0000,-1,-1,-1
2,377,1004.400,634.500,113.460,205.390,1.0000,-1,-1,-1
2,378,927.540,634.910,185.950,219.900,1.0000,-1,-1,-1
3,370,757.310,549.470,110.320,291.450,1.0000,-1,-1,-1
3,371,921.340,561.120,78.330,267.610,1.0000,-1,-1,-1
3,372,643.820,534.010,137.130,304.410,1.0000,-1,-1,-1
3,373,819.740,645.470,161.520,211.860,1.0000,-1,-1,-1
3,374,1022.700,568.580,44.980,225.960,1.0000,-1,-1,-1
3,375,1015.550,610.390,170.690,218.460,1.0000,-1,-1,-1
3,376,1110.380,572.420,79.880,230.290,1.0000,-1,-1,-1
3,377,1003.560,634.980,114.400,205.610,1.0000,-1,-1,-1
3,378,927.520,635.340,182.790,219.680,1.0000,-1,-1,-1
4,370,748.090,549.150,112.700,292.430,1.0000,-1,-1,-1
4,371,919.460,561.530,81.820,265.600,1.0000,-1,-1,-1
4,372,644.490,538.600,128.010,299.860,1.0000,-1,-1,-1
4,373,811.270,646.060,163.920,211.360,1.0000,-1,-1,-1
4,374,1023.020,568.200,44.120,225.580,1.0000,-1,-1,-1
4,375,1018.200,610.240,166.200,219.530,1.0000,-1,-1,-1
4,376,1115.590,572.520,74.830,232.060,1.0000,-1,-1,-1
4,377,1001.210,634.900,119.390,205.380,1.0000,-1,-1,-1
4,378,927.830,635.050,184.120,220.070,1.0000,-1,-1,-1
4,379,643.080,562.260,128.740,270.530,1.0000,-1,-1,-1
5,370,741.230,549.580,120.120,292.310,1.0000,-1,-1,-1
5,371,916.790,562.080,80.240,265.470,1.0000,-1,-1,-1
5,372,644.900,544.260,126.050,295.110,1.0000,-1,-1,-1
5,373,821.920,646.280,140.440,211.350,1.0000,-1,-1,-1
5,374,1023.970,568.190,42.910,226.940,1.0000,-1,-1,-1
5,375,1018.060,610.330,163.030,219.690,1.0000,-1,-1,-1
5,376,1115.870,573.020,74.780,232.570,1.0000,-1,-1,-1
5,377,999.190,635.150,118.170,205.650,1.0000,-1,-1,-1
5,378,933.050,634.880,179.880,220.090,1.0000,-1,-1,-1
5,379,642.430,575.370,129.760,257.710,1.0000,-1,-1,-1
6,370,734.950,550.130,125.410,291.850,1.0000,-1,-1,-1
6,371,918.520,562.040,75.360,267.780,1.0000,-1,-1,-1
6,372,649.230,546.500,120.050,294.010,1.0000,-1,-1,-1
6,373,819.980,646.660,136.270,210.890,1.0000,-1,-1,-1
6,374,1024.840,568.160,42.100,227.180,1.0000,-1,-1,-1
6,375,1017.880,610.730,167.250,219.670,1.0000,-1,-1,-1
6,376,1115.740,573.130,75.380,233.560,1.0000,-1,-1,-1
6,377,1000.840,634.740,117.110,206.200,1.0000,-1,-1,-1
6,378,939.180,635.600,173.920,219.260,1.0000,-1,-1,-1
